SUBCAT,DESCRICAO,CAT,DESC_CAT,capitulo_cod,capitulo_desc,cap_cod
A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae",A00,Cólera,1,I. Algumas doenças infecciosas e parasitárias,I
A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor",A00,Cólera,1,I. Algumas doenças infecciosas e parasitárias,I
A009,Cólera não especificada,A00,Cólera,1,I. Algumas doenças infecciosas e parasitárias,I
A010,Febre tifóide,A01,Febres tifóide e paratifóide,1,I. Algumas doenças infecciosas e parasitárias,I
A011,Febre paratifóide A,A01,Febres tifóide e paratifóide,1,I. Algumas doenças infecciosas e parasitárias,I
A012,Febre paratifóide B,A01,Febres tifóide e paratifóide,1,I. Algumas doenças infecciosas e parasitárias,I
A013,Febre paratifóide C,A01,Febres tifóide e paratifóide,1,I. Algumas doenças infecciosas e parasitárias,I
A014,Febre paratifóide não especificada,A01,Febres tifóide e paratifóide,1,I. Algumas doenças infecciosas e parasitárias,I
A020,Enterite por salmonela,A02,Outras infecções por Salmonella,1,I. Algumas doenças infecciosas e parasitárias,I
A021,Septicemia por salmonela,A02,Outras infecções por Salmonella,1,I. Algumas doenças infecciosas e parasitárias,I
A022,Infecções localizadas por salmonela,A02,Outras infecções por Salmonella,1,I. Algumas doenças infecciosas e parasitárias,I
A028,Outras infecções especificadas por salmonela,A02,Outras infecções por Salmonella,1,I. Algumas doenças infecciosas e parasitárias,I
A029,Infecção não especificada por salmonela,A02,Outras infecções por Salmonella,1,I. Algumas doenças infecciosas e parasitárias,I
A030,Shiguelose devida a Shigella dysenteriae,A03,Shiguelose,1,I. Algumas doenças infecciosas e parasitárias,I
A031,Shiguelose devida a Shigella flexneri,A03,Shiguelose,1,I. Algumas doenças infecciosas e parasitárias,I
A032,Shiguelose devida a Shigella boydii,A03,Shiguelose,1,I. Algumas doenças infecciosas e parasitárias,I
A033,Shiguelose devida a Shigella sonnei,A03,Shiguelose,1,I. Algumas doenças infecciosas e parasitárias,I
A038,Outras shigueloses,A03,Shiguelose,1,I. Algumas doenças infecciosas e parasitárias,I
A039,Shiguelose não especificada,A03,Shiguelose,1,I. Algumas doenças infecciosas e parasitárias,I
A040,Infecção por Escherichia coli enteropatogênica,A04,Outras infecções intestinais bacterianas,1,I. Algumas doenças infecciosas e parasitárias,I
A041,Infecção por Escherichia coli enterotoxigênica,A04,Outras infecções intestinais bacterianas,1,I. Algumas doenças infecciosas e parasitárias,I
A042,Infecção por Escherichia coli enteroinvasiva,A04,Outras infecções intestinais bacterianas,1,I. Algumas doenças infecciosas e parasitárias,I
A043,Infecção por Escherichia coli enterohemorrágica,A04,Outras infecções intestinais bacterianas,1,I. Algumas doenças infecciosas e parasitárias,I
A044,Outras infecções intestinais por Escherichia coli,A04,Outras infecções intestinais bacterianas,1,I. Algumas doenças infecciosas e parasitárias,I
A045,Enterite por Campylobacter,A04,Outras infecções intestinais bacterianas,1,I. Algumas doenças infecciosas e parasitárias,I
A046,Enterite devida a Yersinia enterocolítica,A04,Outras infecções intestinais bacterianas,1,I. Algumas doenças infecciosas e parasitárias,I
A047,Enterocolite devida a Clostridium difficile,A04,Outras infecções intestinais bacterianas,1,I. Algumas doenças infecciosas e parasitárias,I
A048,Outras infecções bacterianas intestinais especificadas,A04,Outras infecções intestinais bacterianas,1,I. Algumas doenças infecciosas e parasitárias,I
A049,Infecção intestinal bacteriana não especificada,A04,Outras infecções intestinais bacterianas,1,I. Algumas doenças infecciosas e parasitárias,I
A050,Intoxicação alimentar estafilocócica,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",1,I. Algumas doenças infecciosas e parasitárias,I
A051,Botulismo,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",1,I. Algumas doenças infecciosas e parasitárias,I
A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",1,I. Algumas doenças infecciosas e parasitárias,I
A053,Intoxicação alimentar devida a Vibrio parahemolyticus,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",1,I. Algumas doenças infecciosas e parasitárias,I
A054,Intoxicação alimentar devida a Bacillus cereus,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",1,I. Algumas doenças infecciosas e parasitárias,I
A058,Outras intoxicações alimentares bacterianas especificadas,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",1,I. Algumas doenças infecciosas e parasitárias,I
A059,Intoxicação alimentar bacteriana não especificada,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",1,I. Algumas doenças infecciosas e parasitárias,I
A060,Disenteria amebiana aguda,A06,Amebíase,1,I. Algumas doenças infecciosas e parasitárias,I
A061,Amebíase intestinal crônica,A06,Amebíase,1,I. Algumas doenças infecciosas e parasitárias,I
A062,Colite amebiana não-disentérica,A06,Amebíase,1,I. Algumas doenças infecciosas e parasitárias,I
A063,Ameboma intestinal,A06,Amebíase,1,I. Algumas doenças infecciosas e parasitárias,I
A064,Abscesso amebiano do fígado,A06,Amebíase,1,I. Algumas doenças infecciosas e parasitárias,I
A065,Abscesso amebiano do pulmão,A06,Amebíase,1,I. Algumas doenças infecciosas e parasitárias,I
A066,Abscesso amebiano do cérebro,A06,Amebíase,1,I. Algumas doenças infecciosas e parasitárias,I
A067,Amebíase cutânea,A06,Amebíase,1,I. Algumas doenças infecciosas e parasitárias,I
A068,Infecção amebiana de outras localizações,A06,Amebíase,1,I. Algumas doenças infecciosas e parasitárias,I
A069,Amebíase não especificada,A06,Amebíase,1,I. Algumas doenças infecciosas e parasitárias,I
A070,Balantidíase,A07,Outras doenças intestinais por protozoários,1,I. Algumas doenças infecciosas e parasitárias,I
A071,Giardíase [lamblíase],A07,Outras doenças intestinais por protozoários,1,I. Algumas doenças infecciosas e parasitárias,I
A072,Criptosporidiose,A07,Outras doenças intestinais por protozoários,1,I. Algumas doenças infecciosas e parasitárias,I
A073,Isosporíase,A07,Outras doenças intestinais por protozoários,1,I. Algumas doenças infecciosas e parasitárias,I
A078,Outras doenças intestinais especificadas por protozoários,A07,Outras doenças intestinais por protozoários,1,I. Algumas doenças infecciosas e parasitárias,I
A079,Doença intestinal não especificada por protozoários,A07,Outras doenças intestinais por protozoários,1,I. Algumas doenças infecciosas e parasitárias,I
A080,Enterite por rotavírus,A08,"Infecções intestinais virais, outras e as não especificadas",1,I. Algumas doenças infecciosas e parasitárias,I
A081,Gastroenteropatia aguda pelo agente de Norwalk,A08,"Infecções intestinais virais, outras e as não especificadas",1,I. Algumas doenças infecciosas e parasitárias,I
A082,Enterite por adenovírus,A08,"Infecções intestinais virais, outras e as não especificadas",1,I. Algumas doenças infecciosas e parasitárias,I
A083,Outras enterites virais,A08,"Infecções intestinais virais, outras e as não especificadas",1,I. Algumas doenças infecciosas e parasitárias,I
A084,Infecção intestinal devida a vírus não especificado,A08,"Infecções intestinais virais, outras e as não especificadas",1,I. Algumas doenças infecciosas e parasitárias,I
A085,Outras infecções intestinais especificadas,A08,"Infecções intestinais virais, outras e as não especificadas",1,I. Algumas doenças infecciosas e parasitárias,I
A09,Diarréia e gastroenterite de origem infecciosa presumível,A09,Diarréia e gastroenterite de origem infecciosa presumível,1,I. Algumas doenças infecciosas e parasitárias,I
A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A151,"Tuberculose pulmonar, com confirmação somente por cultura",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A152,"Tuberculose pulmonar, com confirmação histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A153,"Tuberculose pulmonar, com confirmação por meio não especificado",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos,A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A164,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A168,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",1,I. Algumas doenças infecciosas e parasitárias,I
A170,Meningite tuberculosa,A17,Tuberculose do sistema nervoso,1,I. Algumas doenças infecciosas e parasitárias,I
A171,Tuberculoma meníngeo,A17,Tuberculose do sistema nervoso,1,I. Algumas doenças infecciosas e parasitárias,I
A178,Outras tuberculoses do sistema nervoso,A17,Tuberculose do sistema nervoso,1,I. Algumas doenças infecciosas e parasitárias,I
A179,Tuberculose não especificada do sistema nervoso,A17,Tuberculose do sistema nervoso,1,I. Algumas doenças infecciosas e parasitárias,I
A180,Tuberculose óssea e das articulações,A18,Tuberculose de outros órgãos,1,I. Algumas doenças infecciosas e parasitárias,I
A181,Tuberculose do aparelho geniturinário,A18,Tuberculose de outros órgãos,1,I. Algumas doenças infecciosas e parasitárias,I
A182,Linfadenopatia tuberculosa periférica,A18,Tuberculose de outros órgãos,1,I. Algumas doenças infecciosas e parasitárias,I
A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",A18,Tuberculose de outros órgãos,1,I. Algumas doenças infecciosas e parasitárias,I
A184,Tuberculose de pele e do tecido celular subcutâneo,A18,Tuberculose de outros órgãos,1,I. Algumas doenças infecciosas e parasitárias,I
A185,Tuberculose do olho,A18,Tuberculose de outros órgãos,1,I. Algumas doenças infecciosas e parasitárias,I
A186,Tuberculose do ouvido,A18,Tuberculose de outros órgãos,1,I. Algumas doenças infecciosas e parasitárias,I
A187,Tuberculose das supra-renais,A18,Tuberculose de outros órgãos,1,I. Algumas doenças infecciosas e parasitárias,I
A188,Tuberculose de outros órgãos especificados,A18,Tuberculose de outros órgãos,1,I. Algumas doenças infecciosas e parasitárias,I
A190,Tuberculose miliar aguda de localização única e especificada,A19,Tuberculose miliar,1,I. Algumas doenças infecciosas e parasitárias,I
A191,Tuberculose miliar aguda de múltiplas localizações,A19,Tuberculose miliar,1,I. Algumas doenças infecciosas e parasitárias,I
A192,Tuberculose miliar aguda não especificada,A19,Tuberculose miliar,1,I. Algumas doenças infecciosas e parasitárias,I
A198,Outras tuberculoses miliares,A19,Tuberculose miliar,1,I. Algumas doenças infecciosas e parasitárias,I
A199,Tuberculose miliar não especificada,A19,Tuberculose miliar,1,I. Algumas doenças infecciosas e parasitárias,I
A200,Peste bubônica,A20,Peste,1,I. Algumas doenças infecciosas e parasitárias,I
