cap_cod,capitulo_cod,capitulo_desc,n
II,2,II. Neoplasias (tumores),17605
XX,20,XX. Causas externas de morbidade e mortalidade,11938
IX,9,IX. Doenças do aparelho circulatório,11526
I,1,I. Algumas doenças infecciosas e parasitárias,5173
X,10,X. Doenças do aparelho respiratório,4262
IV,4,IV. Doenças endócrinas nutricionais e metabólicas,3537
XI,11,XI. Doenças do aparelho digestivo,3416
XVIII,18,XVIII.Sint sinais e achad anorm ex clín e laborat,3111
VI,6,VI. Doenças do sistema nervoso,2096
XIV,14,XIV. Doenças do aparelho geniturinário,1886
XV,15,"XV. Gravidez, parto e puerpério",1574
XIII,13,XIII.Doenças sist osteomuscular e tec conjuntivo,920
V,5,V. Transtornos mentais e comportamentais,837
III,3,III. Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,736
XVII,17,XVII.Malf cong deformid e anomalias cromossômicas,472
XII,12,XII. Doenças da pele e do tecido subcutâneo,414
VIII,8,VIII.Doenças do ouvido e da apófise mastóide,25
XVI,16,XVI. Algumas afec originadas no período perinatal,15
VII,7,VII. Doenças do olho e anexos,5
