UF;H-2000-Total;H-2000-0 a 4 anos;H-2000-5 a 9 anos;H-2000-10 a 14 anos;H-2000-15 a 19 anos;H-2000-20 a 24 anos;H-2000-25 a 29 anos;H-2000-30 a 34 anos;H-2000-35 a 39 anos;H-2000-40 a 44 anos;H-2000-45 a 49 anos;H-2000-50 a 54 anos;H-2000-55 a 59 anos;H-2000-60 a 64 anos;H-2000-65 a 69 anos;H-2000-70 a 74 anos;H-2000-75 a 79 anos;H-2000-80 a 84 anos;H-2000-85 a 89 anos;H-2000-90 a 94 anos;H-2000-95 a 99 anos;H-2000-100 anos ou mais;M-2000-Total;M-2000-0 a 4 anos;M-2000-5 a 9 anos;M-2000-10 a 14 anos;M-2000-15 a 19 anos;M-2000-20 a 24 anos;M-2000-25 a 29 anos;M-2000-30 a 34 anos;M-2000-35 a 39 anos;M-2000-40 a 44 anos;M-2000-45 a 49 anos;M-2000-50 a 54 anos;M-2000-55 a 59 anos;M-2000-60 a 64 anos;M-2000-65 a 69 anos;M-2000-70 a 74 anos;M-2000-75 a 79 anos;M-2000-80 a 84 anos;M-2000-85 a 89 anos;M-2000-90 a 94 anos;M-2000-95 a 99 anos;M-2000-100 anos ou mais;H-2010-Total;H-2010-0 a 4 anos;H-2010-5 a 9 anos;H-2010-10 a 14 anos;H-2010-15 a 19 anos;H-2010-20 a 24 anos;H-2010-25 a 29 anos;H-2010-30 a 34 anos;H-2010-35 a 39 anos;H-2010-40 a 44 anos;H-2010-45 a 49 anos;H-2010-50 a 54 anos;H-2010-55 a 59 anos;H-2010-60 a 64 anos;H-2010-65 a 69 anos;H-2010-70 a 74 anos;H-2010-75 a 79 anos;H-2010-80 a 84 anos;H-2010-85 a 89 anos;H-2010-90 a 94 anos;H-2010-95 a 99 anos;H-2010-100 anos ou mais;M-2010-Total;M-2010-0 a 4 anos;M-2010-5 a 9 anos;M-2010-10 a 14 anos;M-2010-15 a 19 anos;M-2010-20 a 24 anos;M-2010-25 a 29 anos;M-2010-30 a 34 anos;M-2010-35 a 39 anos;M-2010-40 a 44 anos;M-2010-45 a 49 anos;M-2010-50 a 54 anos;M-2010-55 a 59 anos;M-2010-60 a 64 anos;M-2010-65 a 69 anos;M-2010-70 a 74 anos;M-2010-75 a 79 anos;M-2010-80 a 84 anos;M-2010-85 a 89 anos;M-2010-90 a 94 anos;M-2010-95 a 99 anos;M-2010-100 anos ou mais
Rondônia;708610;79298;81376;82068;79750;69184;58410;55583;50463;40249;30606;23864;17643;14993;10597;7253;4325;2017;730;121;64;16;672342;75407;78856;79285;77280;68220;59873;53555;46607;37163;28420;20717;15213;12207;7986;5573;3194;1678;664;198;112;133;795157;65352;71249;80115;78575;76229;73124;66306;58124;54223;47292;37645;28111;20520;14669;10453;6877;3813;1689;524;227;41;767252;62657;68194;76161;77219;74782;73261;66659;58622;51148;43496;34829;26270;18640;13667;9502;6236;3438;1737;542;162;29
Acre;280983;39022;35990;34473;33422;28187;21973;18819;15333;13061;10498;7974;6224;4902;4036;3196;1939;1029;699;134;35;38;276899;37779;35583;33507;33533;28326;22460;19080;15704;12825;10052;7787;6039;4682;3340;2687;1476;1016;710;213;29;72;368324;39534;42008;44447;38440;35188;33369;29128;23836;19940;15765;12752;10349;7732;5733;4107;2846;1796;858;359;119;17;365235;37958;40150;43260;38543;35147;34049;29977;23941;19988;15716;13208;10067;7342;6035;3872;2700;1679;826;460;219;99
Amazonas;1416191;195735;187618;170928;167067;144214;116531;96706;84397;67150;52303;37964;28333;22255;17423;12871;7831;4002;2206;432;159;64;1401061;192730;183829;167581;167031;145467;117598;94649;82246;65299;50079;36173;28193;23000;17718;12359;8035;4485;2719;1074;285;513;1753179;188167;195995;203418;182546;170242;161273;142710;116794;98058;80209;64117;47832;35546;24907;17698;11799;6812;3002;1478;468;108;1730806;183200;188287;197279;182215;169198;162253;143038;115961;93727;77188;61295;48812;35018;25659;18746;13293;8358;4083;2072;972;155
Roraima;166037;22235;21218;19876;18818;16054;13470;12377;10844;8841;6820;5097;3366;2585;1872;1137;790;336;243;30;-;27;158360;22111;20453;18971;18790;16315;13412;11571;10260;7863;5694;4027;2718;1998;1538;1107;769;379;256;44;26;58;228859;24152;25156;26510;23937;21679;21188;18432;14851;13013;11132;8631;7032;4789;3284;2319;1259;908;412;106;66;4;221620;23466;24026;25822;23025;21709;21721;18627;14801;12299;10298;7972;6218;4160;2854;1866;1242;878;401;173;30;32
Pará;3133987;395959;391720;382926;371706;312089;251886;214754;186098;155183;125900;96153;75408;60323;44454;31561;19637;10339;5673;1627;487;103;3061978;382387;375822;372874;364701;306549;249628;212873;180256;150228;119116;91464;73802;57623;45948;31745;20924;13929;7623;2698;1015;774;3821837;375769;397720;425692;397031;375522;352801;309932;259408;221218;179780;148141;117783;87937;68108;45938;29730;16824;7991;3257;964;294;3759214;361647;383611;410664;390372;373533;354521;307276;254986;213632;174191;144830;116531;85636;67172;49385;33134;19743;10309;5184;2317;540
Amapá;239453;34322;31295;29514;28171;24071;20638;17355;14468;11299;8446;5909;4542;3143;2520;1567;1096;521;373;163;28;13;237579;33398;30025;29271;29265;25339;20916;17131;13784;10661;7943;5363;4521;3197;2661;1845;845;594;481;221;62;57;335135;35450;37033;39842;36530;34067;31078;26992;23277;18794;14726;11863;8427;5647;4570;2947;1959;1094;356;218;171;94;334391;34598;35469;39262;36714;34442;32686;28205;23411;18421;14196;11057;8254;5426;4430;2828;2305;1193;775;369;197;156
Tocantins;591640;68339;68829;70419;68937;58052;46349;41323;36636;30174;25183;20146;16381;13826;10191;7328;4904;2781;1352;381;72;37;566050;65893;65980;68314;65948;56804;45281;41103;35094;28828;22860;17765;14998;12370;9086;6598;4268;2603;1434;499;200;125;702424;62025;67054;73781;70715;66423;62472;56758;48353;42901;36461;29687;24361;19429;14699;11307;7955;4592;2128;1005;234;83;681021;60716;63935;70463;68561;65462;62704;57698;47049;42076;34861;29127;22259;17375;13717;10178;6961;4318;1994;1117;328;123
Maranhão;2814490;351026;343121;370550;359321;276080;198883;170305;150907;127276;108397;88349;73083;63827;49527;34803;23967;15493;6715;2098;663;99;2843062;342366;338222;365778;350593;270286;205063;180525;161933;136862;113809;90097;78849;67071;50459;36147;24561;16601;8724;3253;1021;840;3261515;322910;343569;367682;342969;326801;293407;245775;197718;173463;147658;123486;103269;83281;67678;51424;33998;19453;10071;5283;1272;348;3313274;313617;329957;357650;339382;329327;301630;254663;205686;182567;157652;132832;113463;89314;69397;54534;36981;22508;12544;6583;2227;762
Piauí;1398395;153554;153406;176456;174571;136185;100848;90434;82524;70188;59132;50193;39917;35411;25697;21068;14387;8708;3900;1348;412;56;1445033;148247;149560;173389;170717;139567;107516;98578;90625;77193;65155;53885;44569;39502;30115;23101;15710;9953;4885;1687;731;347;1528422;126224;138837;157977;152138;148930;135131;120013;100098;90863;80829;67264;56666;47143;36157;29139;18358;12900;6465;2399;701;193;1589938;122169;133177;151454;149871;152956;140465;126611;106392;98826;88646;75969;65082;51940;41319;33291;23128;15821;8363;3110;1048;299
Ceará;3628485;408829;418512;436642;411331;335237;273281;253848;231925;177957;149326;130768;101655;91965;66024;57152;42637;23614;12582;4017;1127;55;3803113;394506;404384;430043;410139;347531;291368;275373;251232;201138;170330;146574;120266;109065;80298;69653;49495;27402;16253;5361;1635;1068;4120088;329246;354667;431182;425388;406469;364404;320119;277660;258887;228540;172439;144991;124147;93054;75849;48599;34153;20406;7345;2035;508;4332293;315455;341710;416282;421265;416392;378568;337976;298600;282238;250651;201189;168847;142333;113271;95052;64232;47805;25584;10274;3764;803
