ano,cod_UF_res,casos
1980,11,0
1980,12,0
1980,13,0
1980,14,0
1980,15,0
1980,16,0
1980,17,0
1980,21,0
1980,22,0
1980,23,0
1980,24,0
1980,25,0
1980,26,0
1980,27,0
1980,28,0
1980,29,0
1980,31,0
1980,32,0
1980,33,0
1980,35,1
1980,41,0
1980,42,0
1980,43,0
1980,50,0
1980,51,0
1980,52,0
1980,53,0
1982,11,0
1982,12,0
1982,13,0
1982,14,0
1982,15,0
1982,16,0
1982,17,0
1982,21,0
1982,22,0
1982,23,1
1982,24,0
1982,25,0
1982,26,0
1982,27,0
1982,28,0
1982,29,0
1982,31,1
1982,32,1
1982,33,4
1982,35,8
1982,41,1
1982,42,0
1982,43,1
1982,50,0
1982,51,0
1982,52,0
1982,53,0
1983,11,0
1983,12,0
1983,13,0
1983,14,0
1983,15,0
1983,16,0
1983,17,0
1983,21,0
1983,22,0
1983,23,2
1983,24,1
1983,25,0
1983,26,2
1983,27,0
1983,28,0
1983,29,0
1983,31,1
1983,32,0
1983,33,7
1983,35,24
1983,41,1
1983,42,0
1983,43,3
1983,50,0
1983,51,0
1983,52,0
1983,53,1
1984,11,0
1984,12,0
1984,13,0
1984,14,0
1984,15,1
1984,16,1
1984,17,0
1984,21,0
1984,22,0
1984,23,0
1984,24,1
1984,25,0
1984,26,2
1984,27,0
1984,28,0
1984,29,2
1984,31,5
1984,32,1
1984,33,26
1984,35,85
1984,41,1
1984,42,1
1984,43,5
1984,50,2
1984,51,2
1984,52,1
1984,53,0
1985,11,0
1985,12,0
1985,13,0
1985,14,0
1985,15,1
1985,16,0
1985,17,0
1985,21,6
1985,22,0
1985,23,6
1985,24,0
1985,25,6
1985,26,8
1985,27,0
1985,28,0
1985,29,4
1985,31,30
1985,32,4
1985,33,109
1985,35,324
1985,41,5
1985,42,1
1985,43,15
1985,50,1
1985,51,5
1985,52,5
1985,53,5
1986,11,0
1986,12,0
1986,13,2
1986,14,0
1986,15,3
1986,16,0
1986,17,0
1986,21,2
1986,22,2
1986,23,9
1986,24,3
1986,25,3
1986,26,15
1986,27,0
1986,28,0
1986,29,21
1986,31,48
1986,32,8
1986,33,282
1986,35,595
1986,41,15
1986,42,9
1986,43,72
1986,50,6
1986,51,8
1986,52,8
1986,53,10
1987,11,3
1987,12,3
1987,13,4
1987,14,1
1987,15,9
1987,16,0
1987,17,1
1987,21,8
1987,22,9
1987,23,13
1987,24,14
1987,25,13
1987,26,67
1987,27,0
1987,28,8
1987,29,41
1987,31,108
1987,32,19
1987,33,595
1987,35,1530
1987,41,38
1987,42,25
1987,43,99
1987,50,10
1987,51,19
1987,52,48
1987,53,23
1988,11,3
1988,12,2
1988,13,10
1988,14,1
1988,15,20
1988,16,4
1988,17,0
1988,21,11
1988,22,14
1988,23,30
1988,24,10
1988,25,11
1988,26,90
1988,27,0
1988,28,17
1988,29,75
1988,31,148
1988,32,33
1988,33,883
1988,35,2552
1988,41,75
1988,42,54
1988,43,172
1988,50,19
1988,51,17
1988,52,62
1988,53,40
1989,11,2
1989,12,4
1989,13,16
1989,14,7
1989,15,31
1989,16,2
1989,17,0
1989,21,28
1989,22,12
1989,23,56
1989,24,21
1989,25,18
1989,26,165
1989,27,0
1989,28,15
1989,29,132
1989,31,232
1989,32,51
1989,33,1142
1989,35,3441
1989,41,103
1989,42,90
1989,43,262
1989,50,27
1989,51,25
1989,52,63
1989,53,74
1990,11,7
1990,12,2
1990,13,24
1990,14,6
1990,15,35
1990,16,1
1990,17,6
1990,21,57
1990,22,20
1990,23,70
1990,24,28
1990,25,44
1990,26,180
1990,27,31
1990,28,19
1990,29,152
1990,31,381
1990,32,57
1990,33,1384
1990,35,5071
1990,41,163
1990,42,216
1990,43,432
1990,50,60
1990,51,48
1990,52,83
1990,53,83
1991,11,3
1991,12,7
1991,13,39
1991,14,13
1991,15,63
1991,16,3
1991,17,8
1991,21,68
1991,22,33
1991,23,128
1991,24,52
1991,25,62
1991,26,222
1991,27,37
1991,28,25
1991,29,215
1991,31,515
1991,32,85
1991,33,1603
1991,35,6595
1991,41,304
1991,42,311
1991,43,640
1991,50,92
1991,51,67
1991,52,140
1991,53,204
1992,11,19
1992,12,5
1992,13,53
1992,14,6
1992,15,86
1992,16,7
1992,17,6
1992,21,80
1992,22,28
1992,23,172
1992,24,32
1992,25,63
1992,26,255
1992,27,58
1992,28,42
1992,29,279
1992,31,595
1992,32,116
1992,33,2184
1992,35,8080
1992,41,438
1992,42,382
1992,43,645
1992,50,107
1992,51,87
1992,52,205
1992,53,228
1993,11,17
1993,12,7
1993,13,60
1993,14,5
1993,15,116
1993,16,1
1993,17,13
1993,21,109
1993,22,29
1993,23,180
1993,24,70
1993,25,89
1993,26,309
1993,27,73
1993,28,47
1993,29,314
1993,31,1002
1993,32,165
1993,33,2256
1993,35,8791
1993,41,561
1993,42,530
1993,43,948
1993,50,192
1993,51,87
1993,52,232
1993,53,226
1994,11,42
1994,12,8
1994,13,84
1994,14,7
1994,15,147
1994,16,6
1994,17,18
1994,21,124
1994,22,66
1994,23,214
1994,24,89
1994,25,112
1994,26,348
1994,27,73
1994,28,79
1994,29,299
1994,31,1226
1994,32,208
1994,33,2401
1994,35,9154
1994,41,649
1994,42,676
1994,43,1110
1994,50,173
1994,51,148
1994,52,307
1994,53,251
1995,11,56
1995,12,1
1995,13,87
1995,14,8
1995,15,177
1995,16,15
1995,17,21
1995,21,144
1995,22,76
1995,23,287
1995,24,72
1995,25,117
1995,26,393
1995,27,82
1995,28,81
1995,29,319
1995,31,1415
1995,32,205
1995,33,2781
1995,35,10255
1995,41,845
1995,42,910
1995,43,1360
1995,50,209
1995,51,174
1995,52,437
1995,53,268
1996,11,52
1996,12,6
1996,13,113
1996,14,18
1996,15,222
1996,16,19
1996,17,25
1996,21,188
1996,22,76
1996,23,299
1996,24,103
1996,25,122
1996,26,553
1996,27,103
1996,28,78
1996,29,468
1996,31,1520
1996,32,251
1996,33,3417
1996,35,11070
1996,41,1068
1996,42,1070
1996,43,1625
1996,50,269
1996,51,240
1996,52,370
1996,53,329
1997,11,68
1997,12,10
1997,13,167
1997,14,15
1997,15,240
1997,16,29
1997,17,32
1997,21,194
1997,22,93
1997,23,360
1997,24,132
1997,25,146
1997,26,581
1997,27,134
1997,28,103
1997,29,571
1997,31,1711
1997,32,352
1997,33,3892
1997,35,11173
1997,41,1327
1997,42,1109
1997,43,2027
1997,50,272
1997,51,272
1997,52,537
1997,53,367
1998,11,90
1998,12,17
1998,13,213
1998,14,20
1998,15,282
1998,16,23
1998,17,47
1998,21,275
1998,22,98
1998,23,605
1998,24,169
1998,25,185
1998,26,747
1998,27,110
1998,28,97
1998,29,544
1998,31,1743
1998,32,406
1998,33,4089
1998,35,12177
1998,41,1387
1998,42,1397
1998,43,2784
1998,50,271
1998,51,263
1998,52,460
1998,53,337
1999,11,76
1999,12,24
1999,13,272
1999,14,24
1999,15,285
1999,16,32
1999,17,47
1999,21,264
1999,22,107
1999,23,542
1999,24,129
1999,25,233
1999,26,662
1999,27,132
1999,28,102
1999,29,649
1999,31,1745
1999,32,402
1999,33,3693
1999,35,10563
1999,41,1449
1999,42,1303
1999,43,2525
1999,50,246
1999,51,183
1999,52,444
1999,53,338
2000,11,140
2000,12,26
2000,13,302
2000,14,56
2000,15,342
2000,16,33
2000,17,60
2000,21,342
2000,22,171
2000,23,566
2000,24,181
2000,25,246
2000,26,799
2000,27,156
2000,28,115
2000,29,974
2000,31,2582
2000,32,535
2000,33,4643
2000,35,15510
2000,41,1730
2000,42,1714
2000,43,3532
2000,50,285
2000,51,386
2000,52,651
2000,53,421
2001,11,156
2001,12,30
2001,13,360
2001,14,54
2001,15,528
2001,16,43
2001,17,64
2001,21,354
2001,22,162
2001,23,641
2001,24,173
2001,25,244
2001,26,936
2001,27,220
2001,28,94
2001,29,920
2001,31,2186
2001,32,548
2001,33,4497
2001,35,13949
2001,41,1679
2001,42,1819
2001,43,3518
2001,50,303
2001,51,356
2001,52,754
2001,53,342
2002,11,202
2002,12,47
2002,13,443
2002,14,37
2002,15,621
2002,16,86
2002,17,87
2002,21,403
2002,22,187
2002,23,760
2002,24,174
2002,25,311
2002,26,1232
2002,27,234
2002,28,127
2002,29,1353
2002,31,3258
2002,32,784
2002,33,5735
2002,35,11944
2002,41,2261
2002,42,2481
2002,43,4344
2002,50,463
2002,51,562
2002,52,828
2002,53,566
2003,11,213
2003,12,31
2003,13,404
2003,14,99
2003,15,695
2003,16,51
2003,17,88
2003,21,496
2003,22,196
2003,23,819
2003,24,204
2003,25,298
2003,26,1156
2003,27,261
2003,28,162
2003,29,1265
2003,31,3025
2003,32,738
2003,33,5346
2003,35,11426
2003,41,2078
2003,42,2287
2003,43,4468
2003,50,452
