"Unidade da Federação";"2000";"2010";"Total"
"11 Rondônia";92;144;236
"12 Acre";26;42;68
"13 Amazonas";102;208;310
"14 Roraima";6;20;26
"15 Pará";328;616;944
"16 Amapá";11;15;26
"17 Tocantins";74;165;239
"21 Maranhão";190;783;973
"22 Piauí";185;573;758
"23 Ceará";658;1223;1881
"24 Rio Grande do Norte";236;624;860
"25 Paraíba";192;760;952
"26 Pernambuco";1401;2390;3791
"27 Alagoas";218;358;576
"28 Sergipe";122;268;390
"29 Bahia";971;1850;2821
"31 Minas Gerais";1971;2535;4506
"32 Espírito Santo";391;773;1164
"33 Rio de Janeiro";3292;4063;7355
"35 São Paulo";7294;8213;15507
"41 Paraná";1770;1896;3666
"42 Santa Catarina";785;954;1739
"43 Rio Grande do Sul";2683;2492;5175
"50 Mato Grosso do Sul";278;431;709
"51 Mato Grosso";209;298;507
"52 Goiás";403;724;1127
"53 Distrito Federal";165;227;392
